subj,phase,trial,stim,stim_type,f1,f2,c,resp,corr,rt,f1_is,e_is
x101,learn,135,L24,learn,-0.62,1.07384,0,0,1,1.62755,angle,0
x101,learn,136,L28,learn,-0.64,0,1,1,1,1.126855,angle,0
x101,learn,137,L30,learn,0,-1.84,0,0,1,0.719785,angle,0
x101,learn,138,L4,learn,-0.452544,0.452544,1,1,1,1.04068,angle,0
x101,learn,139,L21,learn,-1.301064,-1.301064,0,0,1,0.76975,angle,0
x101,learn,140,L26,learn,-1.07384,0.62,0,0,1,1.87962,angle,0
x101,learn,141,L17,learn,-0.452544,-0.452544,1,1,1,1.0775,angle,0
x101,learn,142,L6,learn,0.62,-1.07384,0,0,1,1.289365,angle,0
x101,learn,143,L19,learn,-0.10352,-0.38636,1,1,1,1.28838,angle,0
x101,learn,144,L23,learn,1.301064,1.301064,0,0,1,1.56136,angle,0
x101,learn,145,L29,learn,-1.84,0,0,1,0,2.22851,angle,0
x101,learn,146,L18,learn,-0.38636,0.10352,1,1,1,1.20414,angle,0
x101,learn,147,L16,learn,0,0.64,1,0,0,1.07116,angle,0
x101,learn,148,L27,learn,1.301064,-1.301064,0,0,1,1.12747,angle,0
x101,learn,149,L1,learn,-0.38636,-0.10352,1,1,1,1.406465,angle,0
x101,learn,150,L14,learn,0.38636,0.10352,1,1,1,0.55377,angle,0
x101,learn,151,L12,learn,0.452544,-0.452544,1,1,1,1.45817,angle,0
x101,learn,152,L11,learn,0.64,0,1,1,1,2.012935,angle,0
x101,learn,153,L8,learn,1.84,0,0,1,0,2.723795,angle,0
x101,learn,154,L7,learn,-0.10352,0.38636,1,1,1,2.093925,angle,0
x101,learn,155,L22,learn,1.07384,-0.62,0,0,1,0.904745,angle,0
x101,learn,156,L20,learn,0.10352,0.38636,1,1,1,1.19993,angle,0
x101,learn,157,L31,learn,0.38636,-0.10352,1,1,1,1.12355,angle,0
x101,learn,158,L2,learn,0.452544,0.452544,1,1,1,1.10601,angle,0
x101,learn,159,L5,learn,1.07384,0.62,0,1,0,1.436305,angle,0
x101,learn,160,L13,learn,-0.62,-1.07384,0,0,1,0.804235,angle,0
